"id","text","category","source","split"
"1","दाङ वडा नं 30 मा सडकमा ठूला खाल्डा परेका छन्। बिरामीलाई अस्पताल पु‍र्‍याउन गाह्रो। कृपया तत्काल कदम चाल्नुहोस्।","road","hello_sarkar","train"
"2","हाम्रो काठमाडौं वडा नं 3 मा कच्ची सडक वर्षातमा हिँड्नै नसक्ने हुन्छ। बिरामीलाई अस्पताल पु‍र्‍याउन गाह्रो। नागरिकलाई बिर्सिएको जस्तो छ।","road","hello_sarkar","train"
"3","सिद्धार्थनगर मा पुरानो काठे पुल अहिले पनि प्रयोगमा छ। बालबालिका स्कुल जान डराउँछन्। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","road","hello_sarkar","train"
"4","हाम्रो बर्दिया वडा नं 19 मा कच्ची सडक वर्षातमा हिँड्नै नसक्ने हुन्छ। ढुवानी सेवा प्रभावित भएको छ। तुरुन्त कारबाही गरिदिनुहोस्।","road","hello_sarkar","train"
"5","सल्यान वडा नं 28 मा सडकमा गहिरा खाडल छन्, ग्राभेल सडक भासिएको छ। बालबालिका स्कुल जान डराउँछन्। अब चुप बसिँदैन। जनताको पीडा बुझ्नुहोस्।","road","hello_sarkar","train"
"6","दाङ मा गर्मीमा सडकको धुलो नसहने भएको छ। हिजोदेखि यो समस्या छ। यसमा छानबिन गरिदिनुहोस्।","road","hello_sarkar","train"
"7","दमक वडा नं 30 मा सडक खाल्डाखुल्डीले भरिएको छ, कालोपत्रे सडक चिर्‍याएको जस्तो छ। दुर्घटनाको जोखिम बढेको छ। कहिलेसम्म यस्तै हुन्छ। जनताको पीडा बुझ्नुहोस्।","road","hello_sarkar","train"
"8","नेपालगञ्ज वडा नं 17 मा खाल्डा भित्र पानी भरिएको छ। विद्यालय जाने बच्चालाई गाह्रो छ। कर्मचारीहरूलाई जवाफदेही बनाइदिनुहोस्।","road","hello_sarkar","train"
"9","नेपालगञ्ज वडा नं 2 मा सडकभरि खाल्डाखुल्डी छ। बिरामीलाई अस्पताल पु‍र्‍याउन गाह्रो। हामीलाई कहिलेसम्म कुराउनु पर्ने हो?","road","hello_sarkar","val"
"10","पटकपटक निवेदन दिँदा पनि नवलपरासी मा सडक मर्मत भएको छैन। कसलाई भन्ने हो थाहा छैन। सम्बन्धित निकायले कारबाही गरिदिनुहोस्।","road","hello_sarkar","test"
