"id","text","category","source","split"
"1","हाम्रो पोखरा वडा नं 18 मा भोल्टेज घटबढ हुन्छ। कामकाज ठप्प भएको छ। अब त सहनै सकिँदैन। प्रमुख जिल्ला अधिकारीसम्म पुर्‍याइदिनुहोस्।","electricity","hello_sarkar","train"
"2","हाम्रो पर्सा वडा नं 6 मा भोल्टेज कम हुँदा उपकरण चल्दैनन्। पानी तान्ने मोटर चलाउन सकिँदैन। हामी सबै परेशान छौं। तुरुन्त मर्मत गरिदिनुहोस्।","electricity","hello_sarkar","train"
"3","हाम्रो पाल्पा वडा नं 15 मा भोल्टेज कम हुँदा उपकरण चल्दैनन्। बुढापाकालाई निकै गाह्रो भएको छ। अत्यन्त दुःखित छौं। कृपया तत्काल कदम चाल्नुहोस्।","electricity","hello_sarkar","train"
"4","सर्लाही वडा नं 27 मा मिटरको रिडिङ गलत देखिन्छ। बिल तिरे पनि लाइन काटिएको छ। जनताको पीडा बुझ्नुहोस्।","electricity","hello_sarkar","train"
"5","काठमाडौं वडा नं 11 मा स्ट्रीट लाइट बिग्रेको उजुरी दिए पनि मर्मत भएको छैन। ज्यान जोखिममा छ। सम्बन्धित निकायले कारबाही गरिदिनुहोस्।","electricity","hello_sarkar","train"
"6","लहान वडा नं 14 मा रातमा बाटो अँध्यारो हुन्छ। बच्चाहरूका लागि ठूलो खतरा छ। छिटो समाधान गरिदिनुहोस्।","electricity","hello_sarkar","train"
"7","दुई हप्तादेखि मुगु वडा नं 23 मा बिजुली आपूर्ति बन्द छ। व्यवसाय ठप्प भएको छ। अपाङ्गता भएका व्यक्तिलाई समस्या परेको छ। अब केही गरिदिनुस्।","electricity","hello_sarkar","train"
"8","तुलसीपुर वडा नं 25 मा बिजुली काटिएको छ, ट्रान्सफर्मर फेर्नुपर्ने अवस्था छ, र तीव्र भोल्टेज आउँदा बत्ती पड्किन्छ। जनताको गुनासो कसले सुन्छ। कर्मचारीहरूलाई जवाफदेही बनाइदिनुहोस्।","electricity","hello_sarkar","train"
"9","धनकुटा मा बिजुली सम्बन्धी समस्या छ। कार्यालयमा गएर भन्दा 'हेर्छौं' भन्ने मात्र जवाफ आउँछ। असह्य भइसकेको छ।","electricity","hello_sarkar","val"
"10","रौतहट वडा नं 15 मा बिहीबारदेखि बिजुली काटिएको छ। कामकाज ठप्प भएको छ। यो मानवीय अधिकारको उल्लंघन हो।","electricity","hello_sarkar","test"
"11","हाम्रो सल्यान वडा नं 18 मा भोल्टेज फ्लक्चुएसन निकै बढेको छ। गर्भवती महिलालाई कठिनाइ भएको छ। न्याय चाहिन्छ। कृपया ध्यान दिनुहोस्।","electricity","hello_sarkar","train"
"12","मुगु मा बिजुली सम्बन्धी समस्या छ। कार्यालयमा गएर भन्दा 'हेर्छौं' भन्ने मात्र जवाफ आउँछ। सरकारले ध्यान दिनुपर्छ।","electricity","hello_sarkar","train"
"13","मोरङ क्षेत्रमा ट्रान्सफर्मरबाट ठूलो आवाज आउँछ। आज बिहानदेखि यही समस्या छ। प्रमुख जिल्ला अधिकारीसम्म पुर्‍याइदिनुहोस्।","electricity","hello_sarkar","train"
"14","हाम्रो घरको बिलमा अनावश्यक शुल्क थपिएको छ। मिटर अनुमानमा घुम्छ। तुरुन्त कारबाही गरिदिनुहोस्।","electricity","hello_sarkar","train"
"15","महोत्तरी वडा नं 15 मा स्ट्रीट लाइट बिग्रेको उजुरी दिए पनि मर्मत भएको छैन। कसैलाई करन्ट लाग्ने खतरा छ। यो मानवीय अधिकारको उल्लंघन हो।","electricity","hello_sarkar","train"
"16","लमजुङ क्षेत्रमा ट्रान्सफर्मर पड्किएको छ। चार दिनदेखि यही समस्या छ। यसमा छानबिन गरिदिनुहोस्।","electricity","hello_sarkar","train"
"17","हेटौंडा वडा नं 14 मा सार्वजनिक बत्ती दिनमा बल्छ रातमा बल्दैन। विद्युत् दुर्घटनाको सम्भावना बढेको छ। सम्बन्धित निकायले कारबाही गरिदिनुहोस्।","electricity","hello_sarkar","train"
"18","सर्लाही वडा नं 32 मा मिटर अनुमानमा घुम्छ। बिल तिरे पनि लाइन काटिएको छ। कृपया ध्यान दिनुहोस्।","electricity","hello_sarkar","train"
"19","सिद्धार्थनगर वडा नं 16 मा स्ट्रीट लाइट बिग्रेको उजुरी दिए पनि मर्मत भएको छैन। छुँदा सर्ट हुने अवस्था छ। कृपया तत्काल कदम चाल्नुहोस्।","electricity","hello_sarkar","val"
"20","पाँचथर वडा नं 28 मा सार्वजनिक बत्ती दिनमा बल्छ रातमा बल्दैन। ज्यान जोखिममा छ। सम्बन्धित निकायले कारबाही गरिदिनुहोस्।","electricity","hello_sarkar","test"
"21","सिद्धार्थनगर वडा नं 32 मा मिटर बिग्रिएको छ। बिल अनपेक्षित रूपमा बढी आएको छ। यो मानवीय अधिकारको उल्लंघन हो।","electricity","hello_sarkar","train"
"22","हाम्रो लहान वडा नं 11 मा तीव्र भोल्टेज आउँदा बत्ती पड्किन्छ। पानी तान्ने मोटर चलाउन सकिँदैन। जनताको गुनासो कसले सुन्छ। छिटो समाधान गरिदिनुहोस्।","electricity","hello_sarkar","train"
"23","लामो समयदेखि झापा वडा नं 30 मा बिजुली आपूर्ति बन्द छ। व्यवसाय ठप्प भएको छ। गर्भवती महिलालाई कठिनाइ भएको छ। कसलाई भन्ने हो थाहा छैन।","electricity","hello_sarkar","train"
