"id","text","category","source","split"
"1","कास्की वडा नं 28 मा हप्तौँदेखि फोहोर उठ्ने गाडी आएको छैन, डस्टबिन वरिपरि फोहोर छरिएको छ, र असह्य दुर्गन्ध फैलिएको छ। हामी सबै परेशान छौं। प्रमुख जिल्ला अधिकारीसम्म पुर्‍याइदिनुहोस्।","garbage","hello_sarkar","train"
"2","भरतपुर वडा नं 24 मा छुट्याएर राखे पनि गाडीले सबै मिसाउँछ। न्याय चाहिन्छ। प्रमुख जिल्ला अधिकारीसम्म पुर्‍याइदिनुहोस्।","garbage","hello_sarkar","train"
"3","म रुपन्देही को बासिन्दा हुँ। नगरपालिकाले फोहोर उठाउन छोडेको छ। नाक थुनेर हिँड्नुपर्ने अवस्था छ। कृपया ध्यान दिनुहोस्।","garbage","hello_sarkar","train"
"4","हाम्रो तेह्रथुम वडा नं 24 मा टोलभरि दुर्गन्ध छ। बच्चालाई बिरामी पार्ने अवस्था छ। तुरुन्त कारबाही गरिदिनुहोस्।","garbage","hello_sarkar","train"
"5","बिरेन्द्रनगर वडा नं 19 मा एक हप्तादेखि फोहोर उठ्न आएको छैन। बिहानदेखि राति सम्म गन्ध आइरहेको छ। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","garbage","hello_sarkar","train"
"6","रोल्पा वडा नं 25 मा दुई हप्तादेखि नगरपालिकाले फोहोर उठाउन छोडेको छ। गन्धले बस्नै गाह्रो भएको छ। सम्बन्धित वडा कार्यालयबाट कारबाही हुनुपर्छ।","garbage","hello_sarkar","train"
"7","प्यूठान मा फोहोरले नाली बन्द भएको छ। अस्ति रातिदेखि यही अवस्था छ। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","train"
"8","ओखलढुंगा वडा नं 3 मा फोहोर पोल्दा सास फेर्न गाह्रो हुन्छ। बच्चालाई बिरामी पार्ने अवस्था छ। तुरुन्त मर्मत गरिदिनुहोस्।","garbage","hello_sarkar","train"
"9","सिद्धार्थनगर मा हिजोदेखि फोहोर उठ्न आएको छैन, जनतालाई यस्तो सास्ती किन!","garbage","hello_sarkar","val"
"10","भोजपुर मा फोहोर उठाउने गाडी समयमा आउँदैन। फोहोर उठाइएको छैन। धेरै कष्ट भइरहेको छ। तुरुन्त मर्मत गरिदिनुहोस्।","garbage","hello_sarkar","test"
"11","सप्तरी वडा नं 28 मा सुख्खा ओसिलो छुट्याए पनि एकैमा हालिन्छ। जिम्मेवार कसले लिन्छ। यसमा छानबिन गरिदिनुहोस्।","garbage","hello_sarkar","train"
"12","रुपन्देही मा ढलमा फोहोर थुनिएको छ। हिजोदेखि यही अवस्था छ। जनतालाई सेवा दिनुहोस्।","garbage","hello_sarkar","train"
"13","रुपन्देही मा गएको शनिबारदेखि हप्तौँदेखि फोहोर उठ्ने गाडी आएको छैन, सरकारले ध्यान दिनुपर्छ!","garbage","hello_sarkar","train"
"14","स्याङ्जा वडा नं 25 मा फोहोर पोल्दा सास फेर्न गाह्रो हुन्छ। छालारोग र श्वासप्रश्वासको समस्या बढेको छ। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","garbage","hello_sarkar","train"
"15","चितवन वडा नं 7 मा हिजो रातिदेखि फोहोर सङ्कलन गर्ने गाडी आउँदैन। बिहानदेखि राति सम्म गन्ध आइरहेको छ। तुरुन्त मर्मत गरिदिनुहोस्।","garbage","hello_sarkar","train"
"16","सुर्खेत मा चोकमा फोहोरको डंगुर छ। मक्खी र लामखुट्टे बढेका छन्। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","garbage","hello_sarkar","train"
"17","तानसेन वडा नं 27 मा बाँदरले कचरा फैलाउँछ। फुटपाथमा फोहोर जम्मा भएको छ। हामी सबै परेशान छौं।","garbage","hello_sarkar","train"
"18","दाङ मा पार्कमा कचरा छ। छालारोग र श्वासप्रश्वासको समस्या बढेको छ। जनतालाई सेवा दिनुहोस्।","garbage","hello_sarkar","train"
"19","पटकपटक गुनासो गर्दा पनि म्याग्दी मा फोहोर उठ्ने गरेको छैन। असह्य भइसकेको छ। यसमा छानबिन गरिदिनुहोस्।","garbage","hello_sarkar","val"
"20","झापा मा फोहोरले नाली बन्द भएको छ। हिजो रातिदेखि यही अवस्था छ। प्रमुख जिल्ला अधिकारीसम्म पुर्‍याइदिनुहोस्।","garbage","hello_sarkar","test"
"21","बाँके मा पार्कमा कचरा छ। फोहोरबाट सार्वजनिक स्वास्थ्य खतरामा छ। सम्बन्धित वडा कार्यालयबाट कारबाही हुनुपर्छ।","garbage","hello_sarkar","train"
"22","सिन्धुपाल्चोक मा गाडी हप्ताको एक पटक मात्र आउँछ। फोहोर सङ्कलन गर्ने गाडी आउँदैन। हामी सबै परेशान छौं। हामी थाकिसक्यौं, अब सरकारले हेरोस्।","garbage","hello_sarkar","train"
"23","धादिङ मा बसपार्कमा फोहोरमय छ। छालारोग र श्वासप्रश्वासको समस्या बढेको छ। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","train"
"24","बुटवल क्षेत्रमा कचरा पेटी ओभरफ्लो भएको छ। सडकको बीचमै फोहोरको थुप्रो छ। जनतालाई सेवा दिनुहोस्।","garbage","hello_sarkar","train"
"25","सिद्धार्थनगर क्षेत्रमा कचरा पेटी ओभरफ्लो भएको छ। फुटपाथमा फोहोर जम्मा भएको छ। यो मानवीय अधिकारको उल्लंघन हो।","garbage","hello_sarkar","train"
"26","म गुलरिया को बासिन्दा हुँ। हप्तौँदेखि फोहोर उठ्ने गाडी आएको छैन। गन्धले बस्नै गाह्रो भएको छ। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","garbage","hello_sarkar","train"
"27","जनकपुर मा फोहोर उठाउने गाडी समयमा आउँदैन। नगरपालिकाले फोहोर उठाउन छोडेको छ। नागरिकलाई बिर्सिएको जस्तो छ। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","train"
"28","बैतडी वडा नं 1 मा एक हप्तादेखि हप्तौँदेखि फोहोर उठ्ने गाडी आएको छैन। कुहिएको फोहोरको गन्ध सहन सकिँदैन। छिटो समाधान गरिदिनुहोस्।","garbage","hello_sarkar","train"
"29","मोरङ मा पार्कमा कचरा छ। रोग फैलिने डर छ। तुरुन्त मर्मत गरिदिनुहोस्।","garbage","hello_sarkar","val"
"30","धनगढी वडा नं 4 मा तीन दिनदेखि फोहोर सङ्कलन पूर्ण रूपमा बन्द छ। नाक थुनेर हिँड्नुपर्ने अवस्था छ। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","test"
"31","दार्चुला वडा नं 17 मा फोहोर पोल्दा सास फेर्न गाह्रो हुन्छ। छालारोग र श्वासप्रश्वासको समस्या बढेको छ। कर्मचारीहरूलाई जवाफदेही बनाइदिनुहोस्।","garbage","hello_sarkar","train"
"32","घरमा सानो बच्चा छ। सिराहा वडा नं 20 मा बिहानदेखि राति सम्म गन्ध आइरहेको छ। छालारोग र श्वासप्रश्वासको समस्या बढेको छ। हामीलाई कहिलेसम्म कुराउनु पर्ने हो?","garbage","hello_sarkar","train"
"33","सुर्खेत मा ढलमा फोहोर थुनिएको छ। हिजो रातिदेखि यही अवस्था छ। सम्बन्धित वडा कार्यालयबाट कारबाही हुनुपर्छ।","garbage","hello_sarkar","train"
"34","भोजपुर वडा नं 18 मा दुई हप्तादेखि फोहोर उठ्न आएको छैन। असह्य दुर्गन्ध फैलिएको छ। जनताको पीडा बुझ्नुहोस्।","garbage","hello_sarkar","train"
"35","दार्चुला मा गाडी आउने तालिका पालना हुँदैन। फोहोर सङ्कलन पूर्ण रूपमा बन्द छ। असह्य भइसकेको छ। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","train"
"36","राजविराज मा फोहोरले नाली बन्द भएको छ। पाँच दिनदेखि यही अवस्था छ। तुरुन्त मर्मत गरिदिनुहोस्।","garbage","hello_sarkar","train"
"37","कञ्चनपुर मा अस्पताल अगाडि कचरा जम्मा भएको छ। फोहोरबाट सार्वजनिक स्वास्थ्य खतरामा छ। सम्बन्धित वडा कार्यालयबाट कारबाही हुनुपर्छ।","garbage","hello_sarkar","train"
"38","सर्लाही मा ढलमा फोहोर थुनिएको छ। छ दिनदेखि यही अवस्था छ। सम्बन्धित वडा कार्यालयबाट कारबाही हुनुपर्छ।","garbage","hello_sarkar","train"
"39","दमक वडा नं 6 मा हिजो रातिदेखि फोहोर सङ्कलन गर्ने गाडी आउँदैन। असह्य दुर्गन्ध फैलिएको छ। जनतालाई सेवा दिनुहोस्।","garbage","hello_sarkar","val"
"40","मुगु वडा नं 20 मा फोहोर सङ्कलन गर्ने गाडी आउँदैन, डस्टबिन भरिएर बग्दैछ, र टोलभरि दुर्गन्ध छ। कामै हुँदैन यहाँ। कृपया ध्यान दिनुहोस्।","garbage","hello_sarkar","test"
"41","धनकुटा मा बिहीबारदेखि फोहोर उठाइएको छैन, धेरै कष्ट भइरहेको छ!","garbage","hello_sarkar","train"
"42","तेह्रथुम मा पार्कमा कचरा छ। फोहोरबाट सार्वजनिक स्वास्थ्य खतरामा छ। जनताको पीडा बुझ्नुहोस्।","garbage","hello_sarkar","train"
"43","इलाम वडा नं 3 मा फोहोर सङ्कलन गर्ने गाडी आउँदैन, कचरा पेटी ओभरफ्लो भएको छ, र नाक थुनेर हिँड्नुपर्ने अवस्था छ। यो अन्याय हो। कृपया तत्काल कदम चाल्नुहोस्।","garbage","hello_sarkar","train"
"44","नवलपरासी मा गाडी आउने तालिका पालना हुँदैन। फोहोर सङ्कलन पूर्ण रूपमा बन्द छ। तुरुन्त कारबाही गरिदिनुहोस्। यो मानवीय अधिकारको उल्लंघन हो।","garbage","hello_sarkar","train"
"45","हेलो सरकार मार्फत गुनासो। वीरगन्ज मा फोहोर सङ्कलन गर्ने गाडी आउँदैन, कुहिएको फोहोरको गन्ध सहन सकिँदैन। धेरै कष्ट भइरहेको छ।","garbage","hello_sarkar","train"
