"id","text","category","source","split"
"1","तुलसीपुर वडा नं 29 बाट गुनासो। पानीमा तेलो पदार्थ देखिन्छ, यो पानी पिएर बिरामी परिने डर छ। हामी थाकिसक्यौं, अब सरकारले हेरोस्।","water","hello_sarkar","train"
"2","म वीरगन्ज को बासिन्दा हुँ। केही दिनदेखि खानेपानी आपूर्ति बन्द छ। कपडा धुन पानी छैन। कर्मचारीहरूलाई जवाफदेही बनाइदिनुहोस्।","water","hello_sarkar","train"
"3","घरमा गर्भवती श्रीमती हुनुहुन्छ। बाजुरा वडा नं 29 मा पानीको एक थोपा पनि आएको छैन। कपडा धुन पानी छैन। कृपया ध्यान दिनुहोस्।","water","hello_sarkar","train"
"4","बागलुङ मा एक हप्तादेखि बाल्टी राखेको ठाउँमा पानी नै छैन, सरकारले ध्यान दिनुपर्छ!","water","hello_sarkar","train"
"5","स्याङ्जा मा ट्यांकर धेरै ढिलो आउँछ। हामी सबै परेशान छौं। हामीलाई कहिलेसम्म कुराउनु पर्ने हो?","water","hello_sarkar","train"
"6","सिद्धार्थनगर वडा नं 13 मा हप्तौँदेखि धारा सुक्खा छ। बिरामीलाई कसरी हेर्ने पानी बिनै। हामी थाकिसक्यौं, अब सरकारले हेरोस्।","water","hello_sarkar","train"
"7","घरमा बुढाबुढी हुनुहुन्छ। अर्घाखाँची वडा नं 17 मा धारा सुक्खा छ। खाना पकाउन सकिँदैन। छिटो समाधान गरिदिनुहोस्।","water","hello_sarkar","train"
"8","वीरगन्ज मा हरियो रङको पानी आउँछ। पानी उमाल्दा पनि सफा हुँदैन। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","water","hello_sarkar","train"
"9","पटकपटक गुनासो गर्दा पनि हेटौंडा मा पानी आएको छैन। यो अन्याय हो। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","water","hello_sarkar","val"
"10","पर्सा मा पानीमा तेलो पदार्थ देखिन्छ। यो पानी पिउँदा ढाड दुख्छ। छिटो समाधान गरिदिनुहोस्।","water","hello_sarkar","test"
"11","चितवन वडा नं 22 मा मुख्य पाइप क्षतिग्रस्त भएको छ, धारामा हावा मात्र आउँछ। पन्ध्र दिनदेखि यो समस्या जारी छ। हामीलाई कहिलेसम्म कुराउनु पर्ने हो?","water","hello_sarkar","train"
"12","सङ्खुवासभा वडा नं 22 बाट गुनासो। पानी गन्हाउँछ, पानीजन्य रोग फैलिने खतरा छ। कृपया ध्यान दिनुहोस्।","water","hello_sarkar","train"
"13","इलाम वडा नं 18 मा मुख्य पाइप क्षतिग्रस्त भएको छ, धारा सुक्खा छ। गएको शनिबारदेखि यो समस्या जारी छ। यो मानवीय अधिकारको उल्लंघन हो।","water","hello_sarkar","train"
"14","गुल्मी वडा नं 31 मा गत सोमबारदेखि धारामा हावा मात्र आउँछ। जनावरलाई पनि पानी दिन गाह्रो छ। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","water","hello_sarkar","train"
"15","हेलो सरकार मार्फत गुनासो। सुर्खेत मा धारामा पानी आएको छैन। हप्तामा एकपटक मात्र पानी दिइन्छ। जनावरलाई पनि पानी दिन गाह्रो छ। हामी थाकिसक्यौं, अब सरकारले हेरोस्।","water","hello_sarkar","train"
"16","दमक क्षेत्रमा धारामा थोपा थोपा मात्र आउँछ। शौचालय प्रयोग गर्न अप्ठ्यारो छ। यो अन्याय हो।","water","hello_sarkar","train"
"17","मकवानपुर क्षेत्रमा धारामा थोपा थोपा मात्र आउँछ। भाँडा माझ्न पानी छैन। अब चुप बसिँदैन।","water","hello_sarkar","train"
"18","म डोल्पा को बासिन्दा हुँ। हप्तौँदेखि बाल्टी राखेको ठाउँमा पानी नै छैन। बिरामीलाई कसरी हेर्ने पानी बिनै। जनताको पीडा बुझ्नुहोस्।","water","hello_sarkar","train"
"19","डोटी वडा नं 6 मा राति मात्र पानी आउँछ। कपडा धुन पानी छैन। जनताको पीडा बुझ्नुहोस्।","water","hello_sarkar","val"
"20","म रौतहट को बासिन्दा हुँ। एक हप्तादेखि धारामा हावा मात्र आउँछ। खाना पकाउन सकिँदैन। यसमा छानबिन गरिदिनुहोस्।","water","hello_sarkar","test"
"21","गुल्मी मा ट्यांकर आउने भनेर आएको छैन। कहिलेसम्म यस्तै हुन्छ। जिम्मेवार व्यक्तिलाई कारबाही गरिदिनुहोस्।","water","hello_sarkar","train"
